identifiant_produit|ca
00E9DA5D68|1.2999999523162842
0110EB7977|19.40000033378601
05405CFC66|11.359999656677246
074B4292FA|80.38000106811523
0E2471EEC9|175.50999641418457
1427D19560|9.289999961853027
14AD2E9598|63.16999888420105
1655984E84|7.820000171661377
170BF103F0|8.489999771118164
17B37761D1|7.159999847412109
23767C5C72|6.199999809265137
25336961D3|69.64999908208847
28B04E7543|0.4300000071525574
2FB4C59600|32.40000009536743
2FFFA813EC|90.42999911308289
30324551C9|14.77000017464161
314BE3C5DE|3.7300000190734863
360D2730F2|14.219999313354492
37FD65DA0A|9.039999961853027
39DEE0B662|7.179999828338623
44279EF907|9.909999907016754
455DB12648|50.13000130653381
4773E323AB|16.019999742507935
4CAE15B906|21.050000429153442
53684FFF0B|61.40999698638916
54FE600533|15.300000190734863
56085184B5|64.64999914169312
5619023860|12.889999985694885
58A22AAC7A|8.84000015258789
59D72E5AE0|40.10000228881836
609C07DE17|17.639999866485596
6845269E72|15.43999981880188
6A739AF59C|23.609999656677246
76C9474C06|300.23000083863735
795BC6DD91|15.300000190734863
7CE3E7D9B6|28.619999885559082
8200EDCECF|23.05000066757202
87DFDD6683|3.809999942779541
8836517D97|7.0299999713897705
88FEDAED22|0.36000001430511475
8D18B93DF2|138.20999813079834
8D99F164EC|32.52000045776367
954A104E33|1.1399999856948853
9745170F9A|1.690000057220459
9766E4BF3A|1.4900000095367432
97B3F686D6|16.91000008583069
994FD50114|2.819999933242798
9A250813E1|10.099999904632568
9EE09DC431|5.8500001430511475
A30716689C|9.4399995803833
A7BE3FF8EC|10.150000095367432
A8C8F094F2|10.9399995803833
AB3DF8EF2D|11.260000228881836
AD2AA5CBC0|8.920000076293945
ADA568DE70|20.800000190734863
B6883F35AC|64.89999985694885
B8BAF7222E|14.059999942779541
BB0BE0F5F5|24.390000343322754
BC521EDABA|19.830000400543213
C23E7C211D|88.45999908447266
C2A6332742|69.3900012075901
C5D7AD15FA|25.300000190734863
C63B76A79A|7.25
C83A92ECE9|15.600000381469727
C955ACD665|81.14999824762344
CBA9AB4C13|5.949999809265137
CBEC3D222F|24.46999979019165
CE39A362EE|21.5099995136261
CE491C052B|9.300000190734863
CE803664E6|7.799999952316284
D8DD9CA8CC|7.760000228881836
DA73FA7EF1|133.28000259399414
DAFCF46907|7.260000228881836
DE93874F48|6.519999980926514
E75067075C|42.339999198913574
F2FD2F555D|7.159999847412109
F5D5C3C190|8.0
F96BE51A9B|7.510000228881836
F9BED48753|7.139999866485596
03E99D50CD|17.12000012397766
09076D9673|40.35999917984009
0A2A2116B5|4.019999980926514
0ADEDE01A6|16.800000190734863
0DE6CC65CC|20.719999313354492
0E5B709A87|56.329999923706055
11868F9437|1.2300000190734863
11E66FDFE4|17.280000686645508
159FA81837|135.9500012397766
16A2AFCEB1|9.289999961853027
175F4F837E|4.159999847412109
17A26E57DD|11.940000057220459
1E4F00D3A6|7.619999885559082
228CB72D53|9.4399995803833
233BDC0CB4|7.949999809265137
247BF63CB3|21.619999766349792
24A3D4139C|8.609999895095825
25AB6CDEAC|27.390000343322754
26971E8EF9|0.38000000454485416
30BFC85273|7.559999942779541
30F374B305|3.380000114440918
34991D1D04|16.3799991607666
3764C094D1|0.4000000059604645
3DC9BF35B5|24.399999618530273
45C3D2CADE|6.480000019073486
49F4D4246A|27.30000114440918
4B6D34C827|18.639999389648438
4FEDA773DB|8.380000114440918
501CF147BD|0.8700000047683716
50918FB07A|1.809999942779541
52BB6924D0|5.860000133514404
56E74CF4AC|9.65999984741211
57F87E4068|8.109999656677246
588D5DED4B|13.9399995803833
5E3AA7B47C|4.619999885559082
6139B7A335|4.320000171661377
6230C5D7A9|1.7200000286102295
6604EC6A82|8.600000381469727
66605286FB|95.47000074386597
6765AE344C|26.769999980926514
6FC47573F5|10.5600004196167
70924B397D|7.480000019073486
70D458B7E7|12.5600004196167
71CA50329C|17.280000686645508
72EC85058D|4.679999828338623
7598F4B9EB|58.53999972343445
77F2252E80|4.5
783E12D30D|7.190000057220459
7AB0FD5B95|2.619999885559082
842A0765BD|23.209999561309814
8A7E467B20|9.520000457763672
8B952CEF13|7.800000190734863
92ED7983EC|11.880000114440918
97CFD9F10D|8.180000305175781
9BA22FBBC0|2.7300000190734863
9F8519C414|19.8799991607666
A0B990E7F1|0.019999999552965164
A0FB38F605|5.639999866485596
A22866C32E|13.650000095367432
A6B7B33211|10.979999542236328
AF1ECC7DD5|31.30000114440918
B309F0DD84|12.449999332427979
BB914C4BAB|3.7799999713897705
BB9CD6395B|8.25
BBEB0A9EF9|9.149999618530273
BFAA6A96C1|20.190000295639038
C01C8958FD|12.87000036239624
C20C638C5C|196.5200023651123
CDEAAF649A|4.190000057220459
D149E1340C|36.959999084472656
D64D474E3D|72.77999877929688
DA2889FAAF|4.900000095367432
EB0D161567|31.320000171661377
EBCA09A20A|1.8600000143051147
ED05E810A8|7.96999979019165
EF2673884B|23.869999408721924
EFD4D0974B|71.86999917030334
F2C1AF5E2A|8.100000381469727
F3058A8E5E|43.95999813079834
FA963CA65F|0.5299999713897705
FD6803267B|0.800000011920929
0350CA3618|5.559999942779541
063C58C6C1|6.6600000858306885
